Name," ""Team"""," ""Position"""
Adam Donachie," ""BAL"""," ""Catcher"""
Paul Bako," ""BAL"""," ""Catcher"""
Ramon Hernandez," ""BAL"""," ""Catcher"""
Kevin Millar," ""BAL"""," ""First Baseman"""
Chris Gomez," ""BAL"""," ""First Baseman"""
Brian Roberts," ""BAL"""," ""Second Baseman"""
Miguel Tejada," ""BAL"""," ""Shortstop"""
Melvin Mora," ""BAL"""," ""Third Baseman"""
Aubrey Huff," ""BAL"""," ""Third Baseman"""
Adam Stern," ""BAL"""," ""Outfielder"""
Jeff Fiorentino," ""BAL"""," ""Outfielder"""
Freddie Bynum," ""BAL"""," ""Outfielder"""
Nick Markakis," ""BAL"""," ""Outfielder"""
Brandon Fahey," ""BAL"""," ""Outfielder"""
Corey Patterson," ""BAL"""," ""Outfielder"""
Jay Payton," ""BAL"""," ""Outfielder"""
Jay Gibbons," ""BAL"""," ""Designated Hitter"""
Erik Bedard," ""BAL"""," ""Starting Pitcher"""
Hayden Penn," ""BAL"""," ""Starting Pitcher"""
Adam Loewen," ""BAL"""," ""Starting Pitcher"""
Daniel Cabrera," ""BAL"""," ""Starting Pitcher"""
Steve Trachsel," ""BAL"""," ""Starting Pitcher"""
Jaret Wright," ""BAL"""," ""Starting Pitcher"""
Kris Benson," ""BAL"""," ""Starting Pitcher"""
Scott Williamson," ""BAL"""," ""Relief Pitcher"""
John Parrish," ""BAL"""," ""Relief Pitcher"""
Danys Baez," ""BAL"""," ""Relief Pitcher"""
Chad Bradford," ""BAL"""," ""Relief Pitcher"""
Jamie Walker," ""BAL"""," ""Relief Pitcher"""
Brian Burres," ""BAL"""," ""Relief Pitcher"""
Kurt Birkins," ""BAL"""," ""Relief Pitcher"""
James Hoey," ""BAL"""," ""Relief Pitcher"""
Sendy Rleal," ""BAL"""," ""Relief Pitcher"""
Chris Ray," ""BAL"""," ""Relief Pitcher"""
Jeremy Guthrie," ""BAL"""," ""Relief Pitcher"""
A.J. Pierzynski," ""CWS"""," ""Catcher"""
Toby Hall," ""CWS"""," ""Catcher"""
Paul Konerko," ""CWS"""," ""First Baseman"""
